Övning (Svenska);Övning (English);Video-länk;Video-typ
Armhävningar;Push Up;https://www.youtube.com/watch?v=ZLNbgQiLODA;shorts
Arnold press;Arnold Press;https://www.youtube.com/shorts/Kg8JD8l6ezw?feature=share;
Australiensisk chins;Inverted Row;https://www.youtube.com/shorts/x7zlGd-bIU0?feature=share;
Axelpress maskin;Machine Shoulder Press;https://www.youtube.com/shorts/6v4nrRVySj0?feature=share;
Axelpress med hantlar;Dumbbell Shoulder Press;https://www.youtube.com/shorts/k6tzKisR3NY?feature=share;shorts
Axelpress sittande med hantlar;Seated Dumbbell Shoulder Press;https://www.youtube.com/shorts/k6tzKisR3NY?feature=share;
Axelpress stående;Overhead Press;https://www.youtube.com/shorts/zoN5EH50Dro?feature=share;
Bakåtlyft kabel;Rear Delt Cable Fly;https://www.youtube.com/shorts/FeERX9UwspY?feature=share;
Bakåtlyft med hantlar;Rear Delt Fly (Dumbbell);https://www.youtube.com/shorts/LsT-bR_zxLo?feature=share;
Benböjningar;Leg Curl;https://www.youtube.com/shorts/_lgE0gPvbik?feature=share;shorts
Bencurl liggande;Lying Leg Curl;https://www.youtube.com/shorts/6eVuy_P5FR8?feature=share;
Bencurl sittande;Seated Leg Curl;https://www.youtube.com/shorts/iQ92TuvBqRo?feature=share;
Benförlängning;Leg Extension;https://www.youtube.com/shorts/uM86QE59Tgc?feature=share;
Benlyft hängande;Hanging Leg Raise;https://www.youtube.com/shorts/KDbFKEScp1M?feature=share;
Benlyft liggande;Lying Leg Raise;https://www.youtube.com/shorts/2wUpI98Ix-k?feature=share;
Benpress;Leg Press;https://www.youtube.com/shorts/BnacvXdaxq8?feature=share;shorts
Bicepscurl EZ-stång;EZ-Bar Curl;https://www.youtube.com/shorts/Aundcd6gv1w?feature=share;
Bicepscurl kabel;Cable Curl;https://www.youtube.com/shorts/CrbTqNOlFgE?feature=share;
Bicepscurl lutande bänk;Incline Dumbbell Curl;https://www.youtube.com/shorts/fXFN8_1Bh6k?feature=share;
Bicepscurl med hantlar;Dumbbell Curl;https://www.youtube.com/watch?v=_aoad2yuP5w;https://www.youtube.com/shorts/MKWBV29S6c0?feature=share
